# qr I
-3.182254886433494561e-03 3.805113636363636260e+02
-2.955139345592685835e-03 2.128068181818181870e+02
-2.728040045895731812e-03 3.806818181818181657e+00
-2.500961413125787815e-03 3.568181818181818343e+00
-2.273909638738676707e-03 3.590909090909090828e+00
-2.046893657450698199e-03 3.738636363636363757e+00
-1.819926854553398886e-03 3.681818181818181657e+00
-1.593030227895881256e-03 3.965909090909090828e+00
-1.366238687147781038e-03 3.715909090909090828e+00
-1.139614831505472714e-03 3.681818181818181657e+00
-9.132830732966105113e-04 3.931818181818181657e+00
-6.875303157291438915e-04 3.761363636363636243e+00
-4.631945436823249065e-04 3.329545454545454586e+00
-1.220460907669415466e-04 3.573863636363636243e+00
2.440921815338830932e-04 3.443181818181818343e+00
4.631945436823249065e-04 3.931818181818181657e+00
6.875303157291438915e-04 3.659090909090909172e+00
9.132830732966105113e-04 4.034090909090909172e+00
1.139614831505472714e-03 3.488636363636363757e+00
1.366238687147781038e-03 3.590909090909090828e+00
1.593030227895881256e-03 3.454545454545454586e+00
1.819926854553398886e-03 3.772727272727272929e+00
2.046893657450698199e-03 3.750000000000000000e+00
2.273909638738676707e-03 1.052272727272727337e+01
2.500961413125787815e-03 8.229545454545454675e+01
2.728040045895731812e-03 1.542045454545454675e+02
2.955139345592685835e-03 3.921250000000000000e+02
3.182254886433494561e-03 3.862500000000000000e+02
3.409383420854859847e-03 3.811931818181818130e+02
3.636522511917923955e-03 3.803409090909090651e+02
3.863670295228285867e-03 3.794431818181818130e+02
4.090825320095253445e-03 3.791818181818181870e+02
4.317986440783785559e-03 3.736590909090909349e+02
4.545152740351606629e-03 3.685568181818181870e+02
4.772323476223670063e-03 3.711022727272727479e+02
4.999498040595345451e-03 3.673863636363636260e+02
5.226675931156232920e-03 3.660909090909090651e+02
5.453856729126944566e-03 3.631590909090909349e+02
5.681040082563296525e-03 3.593181818181818130e+02
5.908225693510649537e-03 3.545000000000000000e+02
6.135413308011128906e-03 3.565454545454545610e+02
6.362602708250898222e-03 3.486136363636363740e+02
6.589793706331171542e-03 3.497613636363636260e+02
6.816986139284564490e-03 3.443636363636363740e+02
7.044179865055417294e-03 3.427500000000000000e+02
7.271374759233556820e-03 3.429431818181818130e+02
7.498570712381687903e-03 3.374772727272727479e+02
7.725767627834150691e-03 3.396022727272727479e+02
7.952965419873019373e-03 3.324772727272727479e+02
8.180164012207986543e-03 3.283636363636363740e+02
8.407363336702724024e-03 3.232840909090909349e+02
8.634563332302258240e-03 3.213863636363636260e+02
8.861763944125326461e-03 3.172727272727272521e+02
9.088965122692823848e-03 3.187613636363636260e+02
9.316166823269201799e-03 3.132613636363636260e+02
9.543369005297813734e-03 3.110454545454545610e+02
9.770571631915135266e-03 3.078295454545454390e+02
9.997774669531151945e-03 3.004318181818181870e+02
1.022497808746569183e-02 3.003181818181818130e+02
1.045218185763224956e-02 2.981704545454545610e+02
1.067938595426202661e-02 2.955681818181818130e+02
1.090659035366259473e-02 2.912272727272727479e+02
1.113379503400606027e-02 2.901477272727272521e+02
1.136099997514259871e-02 2.836704545454545610e+02
1.158820515843600983e-02 2.830454545454545610e+02
1.181541056661813451e-02 2.779545454545454390e+02
1.204261618365988322e-02 2.763863636363636260e+02
1.226982199465645636e-02 2.744431818181818130e+02
1.249702798572520715e-02 2.704545454545454390e+02
1.272423414391432410e-02 2.663636363636363740e+02
1.295144045712123305e-02 2.629772727272727479e+02
1.317864691401940576e-02 2.598750000000000000e+02
1.340585350399257046e-02 2.552045454545454675e+02
1.363306021707552662e-02 2.500227272727272805e+02
1.386026704390079696e-02 2.488068181818181870e+02
1.408747397565043684e-02 2.493295454545454675e+02
1.431468100401240943e-02 2.443068181818181870e+02
1.454188812114108435e-02 2.426022727272727195e+02
1.476909531962132364e-02 2.404886363636363740e+02
1.499630259243591238e-02 2.366818181818181870e+02
1.522350993293586884e-02 2.335909090909090935e+02
1.545071733481332039e-02 2.319886363636363740e+02
1.567792479207683748e-02 2.271477272727272805e+02
1.590513229902882839e-02 2.244204545454545325e+02
1.613233985024478678e-02 2.232500000000000000e+02
1.635954744055442833e-02 2.222727272727272805e+02
1.658675506502420294e-02 2.212727272727272805e+02
1.681396271894133529e-02 2.106704545454545325e+02
1.704117039779907972e-02 2.090000000000000000e+02
1.726837809728320669e-02 2.055000000000000000e+02
1.749558581325945730e-02 2.049886363636363740e+02
1.772279354176205246e-02 2.007954545454545325e+02
1.795000127898298270e-02 1.957954545454545325e+02
1.817720902126221394e-02 1.984886363636363740e+02
1.840441676507846569e-02 1.968295454545454675e+02
1.863162450704083234e-02 1.907840909090909065e+02
1.885883224388087975e-02 1.887840909090909065e+02
1.908603997244537331e-02 1.851363636363636260e+02
1.931324768968952638e-02 1.855681818181818130e+02
1.954045539267062689e-02 1.809545454545454675e+02
1.976766307854225038e-02 1.792954545454545325e+02
1.999487074454872962e-02 1.787386363636363740e+02
2.022207838802009966e-02 1.740681818181818130e+02
2.044928600636728572e-02 1.699545454545454675e+02
2.067649359707775247e-02 1.706363636363636260e+02
2.090370115771121931e-02 1.662840909090909065e+02
2.113090868589587515e-02 1.651818181818181870e+02
2.135811617932466266e-02 1.644431818181818130e+02
2.158532363575197191e-02 1.581590909090909065e+02
2.181253105299033046e-02 1.572954545454545325e+02
2.203973842890746479e-02 1.591363636363636260e+02
2.226694576142346574e-02 1.520000000000000000e+02
2.249415304850815867e-02 1.503068181818181870e+02
2.272136028817861239e-02 1.497727272727272805e+02
2.294856747849679385e-02 1.490227272727272805e+02
2.317577461756738927e-02 1.438863636363636260e+02
2.340298170353566354e-02 1.448522727272727195e+02
2.363018873458560751e-02 1.403750000000000000e+02
2.385739570893801939e-02 1.394886363636363740e+02
2.408460262484881514e-02 1.371931818181818130e+02
2.431180948060734578e-02 1.360227272727272805e+02
2.453901627453487430e-02 1.335454545454545325e+02
2.476622300498311155e-02 1.323977272727272805e+02
2.499342967033286664e-02 1.287159090909090935e+02
2.522063626899262098e-02 1.283522727272727195e+02
2.544784279939742502e-02 1.262613636363636402e+02
2.567504926000763188e-02 1.254772727272727337e+02
2.590225564930791202e-02 1.213636363636363598e+02
2.612946196580599734e-02 1.193295454545454533e+02
2.635666820803186233e-02 1.184204545454545467e+02
2.658387437453668331e-02 1.185340909090909065e+02
2.681108046389199875e-02 1.162954545454545467e+02
2.703828647468877605e-02 1.129431818181818130e+02
2.726549240553669332e-02 1.115568181818181870e+02
2.749269825506327203e-02 1.118295454545454533e+02
2.771990402191327682e-02 1.091477272727272663e+02
2.794710970474783771e-02 1.105795454545454533e+02
2.817431530224391231e-02 1.052272727272727337e+02
2.840152081309368567e-02 1.036590909090909065e+02
2.862872623600385552e-02 1.043409090909090935e+02
2.885593156969510145e-02 1.011477272727272663e+02
2.908313681290155411e-02 1.001022727272727337e+02
2.931034196437027131e-02 9.737500000000000000e+01
2.953754702286080086e-02 9.597727272727273373e+01
2.976475198714454568e-02 9.519318181818181301e+01
2.999195685600445152e-02 9.515909090909090651e+01
3.021916162823455598e-02 9.396590909090909349e+01
3.044636630263951663e-02 9.271590909090909349e+01
3.067357087803429180e-02 9.138636363636364024e+01
3.090077535324365840e-02 8.826136363636364024e+01
3.112797972710196551e-02 8.579545454545454675e+01
3.135518399845272502e-02 8.606818181818181301e+01
3.158238816614834799e-02 8.506818181818181301e+01
3.180959222904967271e-02 8.321590909090909349e+01
3.203679618602588847e-02 8.088636363636364024e+01
3.226400003595400467e-02 8.263636363636364024e+01
3.249120377771878843e-02 8.012500000000000000e+01
3.271840741021235510e-02 7.894318181818181301e+01
3.294561093233397409e-02 7.862500000000000000e+01
3.317281434298981896e-02 7.793181818181818699e+01
3.340001764109268995e-02 7.567045454545454675e+01
3.362722082556191677e-02 7.420454545454545325e+01
3.385442389532293539e-02 7.379545454545454675e+01
3.408162684930725328e-02 7.186363636363635976e+01
3.430882968645221354e-02 7.029545454545454675e+01
3.453603240570076588e-02 7.189772727272726627e+01
3.476323500600126543e-02 7.002272727272726627e+01
3.499043748630737555e-02 6.960227272727273373e+01
3.521763984557783889e-02 6.910227272727273373e+01
3.544484208277631082e-02 6.787500000000000000e+01
3.567204419687131089e-02 6.575000000000000000e+01
3.589924618683584812e-02 6.379545454545454675e+01
3.612644805164745565e-02 6.411363636363635976e+01
